id,nome,idade,nota_simulado,frequencia,turma,status_aprovação
458,Maria Luiza Alves,18.0,8.8,0.58,C,Reprovado
459,João Vitor Costela,16.0,8.8,0.77,A,Aprovado
460,Camila Azevedo,19.0,6.8,0.73,A,Reprovado
461,Olívia Macedo,17.0,0.9,0.91,A,Reprovado
462,Ana Cecília Pinto,16.0,8.0,0.86,A,Aprovado
463,José Sá,18.0,2.8,0.86,A,Reprovado
464,Dom Rocha,19.0,8.8,0.55,C,Reprovado
465,Sr. Danilo Pinto,17.0,3.0,0.57,B,Reprovado
466,Evelyn Rocha,18.0,7.9,0.59,C,Reprovado
467,Gael Fernandes,20.0,1.4,0.81,B,Reprovado
468,Igor Mendonça,20.0,9.3,0.75,A,Aprovado
469,Olívia Duarte,19.0,9.9,0.55,C,Reprovado
470,Rael Martins,20.0,1.0,0.83,C,Reprovado
471,Raquel Dias,17.0,9.0,0.87,B,Aprovado
472,Arthur Gabriel da Mota,18.0,2.5,0.61,C,Reprovado
474,Gustavo Henrique Vargas,17.0,4.3,0.91,A,Reprovado
475,Luna da Mota,18.0,6.9,0.84,A,Reprovado
476,Dr. Vinícius Ribeiro,18.0,1.5,0.76,A,Reprovado
477,Marina Rezende,20.0,3.5,0.52,B,Reprovado
478,Arthur Miguel da Mota,16.0,5.1,0.93,C,Reprovado
479,Gustavo Henrique Cassiano,19.0,6.1,0.81,A,Reprovado
480,Joaquim Fogaça,16.0,5.4,0.85,A,Reprovado
481,Dra. Sofia Brito,16.0,4.2,0.96,A,Reprovado
482,Maysa Porto,16.0,2.1,0.52,C,Reprovado
484,Sr. Theo Lima,17.0,4.8,0.5,A,Reprovado
485,Carlos Eduardo Guerra,20.0,2.9,0.91,B,Reprovado
486,José Pedro Macedo,17.0,8.6,0.98,B,Aprovado
487,Théo Cavalcante,19.0,1.8,0.5,C,Reprovado
488,Isabela Gonçalves,19.0,6.1,0.69,A,Reprovado
489,Srta. Mariah Ribeiro,17.0,2.7,0.82,C,Reprovado
491,Sr. Rafael Silveira,20.0,0.0,0.62,C,Reprovado
492,Kamilly Marques,20.0,2.2,0.89,B,Reprovado
493,Lorena Mendes,17.0,9.1,0.57,B,Reprovado
494,Srta. Aurora Campos,17.0,7.0,0.9,C,Aprovado
496,Letícia Pimenta,20.0,2.2,0.62,A,Reprovado
497,André Andrade,20.0,3.0,0.75,A,Reprovado
498,Aurora Duarte,18.0,4.7,0.52,A,Reprovado
499,Hadassa Aragão,20.0,0.2,0.56,C,Reprovado
500,Srta. Maria Liz Cardoso,19.0,2.0,0.51,B,Reprovado
501,Dra. Ana Laura Vieira,19.0,2.4,0.53,B,Reprovado
502,Dr. Luiz Felipe Novais,17.0,5.2,0.84,A,Reprovado
503,Ana Laura Borges,19.0,9.9,0.96,C,Aprovado
504,Ísis Brito,18.0,7.7,0.64,C,Reprovado
505,Cecilia Fonseca,17.0,4.5,0.65,C,Reprovado
506,Matheus Cunha,19.0,9.1,0.85,C,Aprovado
507,Sr. Luiz Otávio Silveira,18.0,4.8,0.6,A,Reprovado
508,Maya Nascimento,19.0,3.3,0.52,B,Reprovado
509,Sr. Léo Monteiro,17.0,7.3,0.62,C,Reprovado
510,Maria Viana,18.0,6.1,0.81,C,Reprovado
511,Sofia Leão,18.0,2.0,0.8,A,Reprovado
512,Maria Flor Farias,18.0,4.8,0.54,A,Reprovado
513,Oliver Pastor,16.0,5.5,0.74,C,Reprovado
514,Dr. Levi Leão,18.0,2.1,0.7,B,Reprovado
515,Camila Pacheco,17.0,6.0,0.95,A,Reprovado
516,Asafe Marques,18.0,7.2,0.93,A,Aprovado
517,Sr. Benicio Pacheco,18.0,2.4,0.54,A,Reprovado
518,Arthur Gabriel da Rosa,20.0,7.5,0.73,C,Reprovado
519,Ana Carolina Barbosa,20.0,8.9,0.95,B,Aprovado
520,Antonella Câmara,20.0,8.6,0.65,A,Reprovado
521,Manuella da Rocha,17.0,5.7,0.65,B,Reprovado
522,Augusto Pereira,17.0,9.3,0.88,B,Aprovado
523,Ester Pastor,-1.0,4.0,0.99,C,Reprovado
524,Luiz Miguel Carvalho,20.0,0.8,0.54,B,Reprovado
525,Srta. Melina da Luz,16.0,2.3,0.62,B,Reprovado
526,João Lucas Montenegro,16.0,4.4,0.57,B,Reprovado
527,Maria Barbosa,17.0,7.1,0.79,B,Aprovado
528,Sra. Mariana Marques,17.0,2.9,0.56,C,Reprovado
529,Kamilly Nascimento,19.0,1.8,1.0,B,Reprovado
530,André Barros,17.0,4.4,0.54,A,Reprovado
531,Dr. Pedro Henrique Silveira,19.0,0.6,0.69,C,Reprovado
532,Dr. Ryan Vasconcelos,17.0,9.8,1.0,A,Aprovado
533,Dr. Thiago Pastor,18.0,7.2,0.93,C,Aprovado
534,Mariah Albuquerque,17.0,4.5,0.55,B,Reprovado
535,Agatha Aparecida,17.0,1.3,0.98,A,Reprovado
536,Gabriela Sousa,17.0,8.8,0.8,C,Aprovado
537,Enzo Gabriel Carvalho,18.0,5.7,0.74,C,Reprovado
538,Leandro da Conceição,16.0,7.4,0.66,A,Reprovado
539,Bella Sousa,16.0,3.2,0.71,A,Reprovado
540,Dra. Valentina Sousa,18.0,5.8,0.66,A,Reprovado
541,Maria Júlia Souza,16.0,3.3,0.78,C,Reprovado
542,Emilly das Neves,19.0,8.5,0.65,B,Reprovado
543,Matteo Costa,20.0,4.1,0.9,A,Reprovado
544,Liz Cavalcanti,17.0,2.1,0.73,B,Reprovado
545,Mateus Peixoto,18.0,8.2,0.53,A,Reprovado
546,Sr. Mateus Cirino,19.0,1.6,0.98,A,Reprovado
547,Marcelo Ferreira,18.0,4.0,0.95,A,Reprovado
548,Catarina Camargo,16.0,3.0,0.98,C,Reprovado
549,Lara Azevedo,16.0,9.7,0.85,A,Aprovado
550,Maria Sophia Costela,18.0,7.8,0.75,C,Aprovado
551,Brayan da Paz,20.0,2.2,0.73,A,Reprovado
552,Sr. José Vasconcelos,17.0,7.3,0.82,B,Aprovado
553,Lorena Lopes,19.0,3.3,0.63,A,Reprovado
554,Marcelo Aragão,18.0,4.4,0.55,C,Reprovado
555,Maria Clara Melo,18.0,5.9,0.89,A,Reprovado
556,Ian Sá,18.0,7.7,0.55,C,Reprovado
557,Lucca Costa,19.0,0.5,0.78,C,Reprovado
558,Dr. Bernardo Cassiano,16.0,3.1,0.7,B,Reprovado
559,Maria Luiza Almeida,18.0,7.8,0.97,B,Aprovado
560,Dra. Heloisa Porto,18.0,0.3,0.88,B,Reprovado
561,Mariane Silva,17.0,7.1,0.64,B,Reprovado
562,Bárbara da Mata,17.0,3.2,0.81,A,Reprovado
563,Luiz Henrique Costa,19.0,7.6,0.84,C,Aprovado
564,Ana Clara Dias,17.0,8.1,0.97,A,Aprovado
565,Ravi Aragão,19.0,8.2,0.75,C,Aprovado
566,Milena Sales,16.0,3.6,0.96,A,Reprovado
567,Srta. Zoe Fernandes,19.0,1.2,0.78,A,Reprovado
568,Cauê Pereira,16.0,4.6,1.0,A,Reprovado
569,Francisco Barbosa,20.0,6.3,0.71,C,Reprovado
570,Srta. Heloisa Souza,18.0,9.5,0.84,B,Aprovado
571,Isabelly Porto,18.0,3.5,0.59,B,Reprovado
572,Dra. Maria Júlia Pires,20.0,1.7,0.89,C,Reprovado
573,Ryan Sales,17.0,2.8,0.71,B,Reprovado
574,Ravi Lucca Moreira,17.0,1.0,0.66,A,Reprovado
575,Dra. Heloísa Vasconcelos,18.0,6.4,0.68,C,Reprovado
577,Theodoro Macedo,19.0,7.6,0.55,B,Reprovado
578,Dom Pires,17.0,4.9,0.82,A,Reprovado
579,Lunna Mendonça,17.0,6.8,0.57,C,Reprovado
580,Sr. Calebe Cardoso,16.0,4.5,0.98,A,Reprovado
581,João Souza,-1.0,9.2,0.85,C,Aprovado
582,Heloisa Siqueira,16.0,5.8,0.62,B,Reprovado
583,Renan Cavalcanti,16.0,1.2,0.96,B,Reprovado
584,Apollo da Mata,17.0,2.7,0.68,C,Reprovado
585,Davi Lucca das Neves,20.0,8.7,0.58,C,Reprovado
586,Sr. José Pedro Castro,18.0,9.1,1.0,B,Aprovado
587,Lorenzo Duarte,16.0,6.8,0.74,B,Reprovado
589,Pietra Pastor,17.0,8.1,0.87,B,Aprovado
590,Sr. Ravi Barros,16.0,8.2,0.95,B,Aprovado
591,Dra. Elisa Cavalcante,17.0,1.2,0.68,A,Reprovado
592,Antônio Barros,17.0,2.0,0.75,B,Reprovado
593,Srta. Giovanna Machado,17.0,9.8,0.84,B,Aprovado
594,Olívia Gomes,18.0,5.4,0.9,C,Reprovado
595,Alice Marques,17.0,9.8,0.52,A,Reprovado
596,Benício Fonseca,16.0,5.0,0.63,B,Reprovado
597,Daniel Casa Grande,16.0,4.5,0.85,C,Reprovado
598,Bryan da Rosa,18.0,8.1,0.82,C,Aprovado
599,Isaac Carvalho,16.0,5.9,0.68,B,Reprovado
600,Emanuelly Melo,17.0,6.4,0.82,C,Reprovado
601,Dr. Guilherme Ferreira,16.0,8.1,0.65,A,Reprovado
602,Dr. Henry da Rosa,19.0,5.2,0.9,A,Reprovado
603,Isaac Cavalcante,17.0,5.8,0.82,C,Reprovado
604,Maria Sophia Cirino,20.0,0.5,0.95,A,Reprovado
605,Pedro Miguel Caldeira,-1.0,3.6,0.63,B,Reprovado
606,Gabriel Cavalcanti,20.0,9.1,0.66,A,Reprovado
607,Anthony Gabriel das Neves,18.0,0.7,0.86,A,Reprovado
609,Allana Pires,16.0,4.0,0.56,A,Reprovado
610,Luan Vargas,17.0,8.7,0.86,B,Aprovado
611,Pedro Henrique Alves,19.0,0.8,0.77,B,Reprovado
612,João Miguel Guerra,19.0,1.1,0.54,A,Reprovado
613,Esther Freitas,18.0,9.1,0.61,A,Reprovado
614,Isabela Rocha,20.0,2.5,0.57,B,Reprovado
615,Felipe Viana,19.0,3.4,0.8,C,Reprovado
616,Arthur Abreu,16.0,4.4,0.87,B,Reprovado
617,Maria Clara Câmara,18.0,8.0,0.75,B,Aprovado
618,Dante Brito,16.0,2.7,0.85,B,Reprovado
619,Dr. Arthur Gabriel Sá,20.0,1.1,0.86,C,Reprovado
620,Eduardo Pinto,20.0,0.9,0.75,A,Reprovado
621,Mathias Almeida,16.0,7.9,0.8,A,Aprovado
622,João Lucas Machado,20.0,6.1,0.6,B,Reprovado
623,Emilly Rocha,20.0,0.6,0.85,C,Reprovado
624,Otto Souza,19.0,5.0,0.57,B,Reprovado
625,Maria Sophia Ferreira,17.0,4.3,0.53,C,Reprovado
626,João Gabriel Correia,17.0,1.8,0.79,B,Reprovado
627,Ana Beatriz Fogaça,17.0,4.1,0.89,C,Reprovado
628,Otto Costela,19.0,9.9,0.88,C,Aprovado
629,Ravi Lucca Pacheco,18.0,5.1,0.91,B,Reprovado
630,Sr. Rhavi da Rosa,16.0,4.7,0.78,A,Reprovado
631,Kaique Câmara,20.0,2.5,0.77,B,Reprovado
632,Liam Araújo,20.0,8.8,0.8,C,Aprovado
633,Allana Brito,20.0,0.3,0.96,B,Reprovado
634,Stella da Paz,20.0,3.2,0.96,C,Reprovado
635,Aurora Carvalho,18.0,2.8,0.56,C,Reprovado
638,Dra. Lunna Machado,20.0,8.4,0.79,C,Aprovado
639,Esther Dias,20.0,8.5,0.54,B,Reprovado
640,Dra. Stephany Pimenta,18.0,6.5,0.69,A,Reprovado
641,Srta. Emanuella da Costa,18.0,7.7,0.85,B,Aprovado
642,Dr. João Gabriel Correia,16.0,9.0,0.7,B,Reprovado
643,Emilly Borges,20.0,4.3,0.68,B,Reprovado
644,Pedro Miguel Silva,19.0,9.1,0.58,B,Reprovado
645,Yasmin Fernandes,18.0,1.9,0.84,A,Reprovado
646,Maria Vitória Melo,16.0,2.2,0.94,C,Reprovado
647,Lucas Gabriel Carvalho,-1.0,4.1,0.52,B,Reprovado
648,Sabrina Alves,19.0,5.0,0.53,C,Reprovado
649,Isabel Cirino,18.0,9.1,0.76,B,Aprovado
650,Fernando Pacheco,17.0,5.3,0.61,B,Reprovado
651,Stella Correia,17.0,6.1,0.54,A,Reprovado
652,Dr. Felipe Viana,16.0,0.5,0.95,A,Reprovado
653,Maria Helena Moreira,16.0,1.8,0.89,B,Reprovado
654,Catarina Carvalho,20.0,8.5,0.95,C,Aprovado
655,Luiz Henrique Garcia,16.0,2.5,0.81,A,Reprovado
656,Henry Gabriel Carvalho,16.0,4.4,0.66,B,Reprovado
657,Ana Laura Nogueira,17.0,7.8,0.82,A,Aprovado
658,Enzo Gabriel da Rosa,17.0,2.5,0.8,A,Reprovado
659,Bernardo Alves,19.0,6.3,0.58,C,Reprovado
660,Ágatha Nunes,20.0,5.1,0.55,A,Reprovado
661,Maysa Borges,20.0,4.4,0.69,C,Reprovado
662,Srta. Catarina Araújo,17.0,0.3,0.5,B,Reprovado
663,Dra. Bianca da Mota,17.0,5.0,0.77,A,Reprovado
664,Allana Cavalcanti,17.0,4.9,0.61,C,Reprovado
665,Emanuel Vieira,17.0,6.7,0.53,A,Reprovado
666,Sr. Samuel Vieira,20.0,0.8,0.59,B,Reprovado
667,Sophie Câmara,19.0,2.5,0.81,B,Reprovado
668,Julia da Rocha,18.0,9.7,0.54,A,Reprovado
669,Dante Andrade,19.0,1.7,0.66,C,Reprovado
670,Lucca Cirino,16.0,5.2,0.68,A,Reprovado
671,Larissa Nascimento,16.0,6.2,0.77,A,Reprovado
672,Sr. Lucas da Luz,19.0,4.0,0.55,B,Reprovado
674,Davi da Mota,18.0,5.1,0.81,B,Reprovado
676,Arthur Miguel da Mota,20.0,9.8,0.6,B,Reprovado
677,Dr. Théo Rodrigues,19.0,9.4,0.65,C,Reprovado
678,Júlia Alves,16.0,8.2,0.74,B,Reprovado
679,Henry Gabriel Ferreira,20.0,8.9,0.97,C,Aprovado
681,Cauê Rios,17.0,3.3,0.6,A,Reprovado
682,Calebe Guerra,16.0,8.6,0.81,B,Aprovado
683,Alícia Almeida,16.0,1.4,0.74,C,Reprovado
684,Cecilia Machado,17.0,7.7,0.72,B,Reprovado
685,Sr. Gael Fogaça,17.0,9.5,0.75,B,Aprovado
687,Erick da Luz,20.0,4.1,0.81,C,Reprovado
688,Enrico Borges,16.0,7.4,0.57,C,Reprovado
689,Eduarda Mendes,20.0,8.2,0.73,C,Reprovado
690,Gustavo Peixoto,20.0,5.2,0.85,C,Reprovado
691,Cecília Caldeira,17.0,8.4,0.99,C,Aprovado
692,Sr. Luiz Gustavo da Mota,-1.0,2.7,0.53,A,Reprovado
693,Dra. Manuela Rocha,18.0,9.3,0.74,C,Reprovado
694,Breno Costela,20.0,1.9,0.58,B,Reprovado
695,Murilo Albuquerque,16.0,2.6,0.66,A,Reprovado
696,Bruna Marques,18.0,5.8,0.83,B,Reprovado
697,Hadassa Teixeira,19.0,6.3,0.78,C,Reprovado
699,João Guilherme Brito,17.0,2.5,0.54,B,Reprovado
700,Antônio Aragão,20.0,1.2,0.7,A,Reprovado
701,Benício Nascimento,20.0,4.8,0.75,B,Reprovado
702,Mariah Monteiro,19.0,6.0,0.75,A,Reprovado
703,Dra. Luara Ramos,16.0,9.9,0.75,B,Aprovado
704,Sr. José Pedro Leão,18.0,3.0,0.86,B,Reprovado
705,Luan Garcia,20.0,9.3,0.77,A,Aprovado
706,Gustavo Silva,19.0,2.7,0.6,C,Reprovado
708,Luiz Otávio Macedo,18.0,6.9,0.69,C,Reprovado
709,Liz Nunes,20.0,1.5,0.68,C,Reprovado
710,Luan Oliveira,19.0,9.9,0.71,A,Reprovado
711,Daniela Monteiro,16.0,8.0,0.5,C,Reprovado
712,José Martins,-1.0,7.4,0.9,B,Aprovado
713,Bruna Vieira,17.0,7.7,0.89,B,Aprovado
715,Ryan Carvalho,16.0,1.1,1.0,C,Reprovado
716,Luiz Gustavo da Mota,20.0,7.2,0.73,B,Reprovado
717,Dr. Kevin Nogueira,18.0,4.1,0.6,A,Reprovado
718,João Vitor Sales,19.0,8.3,0.64,A,Reprovado
719,Milena Carvalho,18.0,9.7,0.86,B,Aprovado
720,Juan Monteiro,17.0,3.0,0.69,C,Reprovado
721,Dra. Emilly da Rosa,20.0,9.5,0.74,C,Reprovado
722,Théo Duarte,18.0,5.8,0.56,C,Reprovado
723,Leonardo Machado,18.0,0.1,0.85,B,Reprovado
724,Sra. Maria Luiza Aragão,16.0,0.0,0.54,A,Reprovado
725,Nina Rocha,18.0,0.3,0.9,B,Reprovado
726,Evelyn Freitas,17.0,6.6,0.75,B,Reprovado
728,Bella Porto,18.0,6.3,0.63,A,Reprovado
729,Antony Sousa,17.0,8.1,0.79,B,Aprovado
730,Pedro Castro,19.0,4.5,0.87,C,Reprovado
731,Srta. Maria Alice Sousa,20.0,4.7,0.6,B,Reprovado
732,Catarina Siqueira,17.0,2.7,0.98,B,Reprovado
733,Sr. André Aparecida,20.0,0.0,0.69,A,Reprovado
734,Vitor Gabriel Costa,18.0,5.5,0.89,C,Reprovado
735,Sara Teixeira,16.0,1.5,0.53,C,Reprovado
736,Ana Júlia da Conceição,16.0,2.1,0.65,B,Reprovado
737,Sra. Nicole Gomes,16.0,8.7,0.75,A,Aprovado
738,Luara Teixeira,16.0,9.8,0.91,A,Aprovado
739,Sofia Silva,17.0,5.6,0.91,C,Reprovado
740,Sr. Bernardo Pimenta,18.0,7.2,0.89,A,Aprovado
741,Sr. Arthur Gabriel Montenegro,18.0,9.2,0.63,C,Reprovado
742,João Felipe Castro,16.0,4.8,0.66,B,Reprovado
743,Letícia Sales,17.0,3.9,0.95,C,Reprovado
744,Leonardo Oliveira,16.0,7.3,0.78,B,Aprovado
745,Joana Garcia,16.0,9.8,0.61,C,Reprovado
746,Lívia Nogueira,20.0,7.6,0.58,B,Reprovado
747,Sr. Benjamin Freitas,16.0,2.1,0.75,A,Reprovado
748,Samuel Oliveira,16.0,7.8,0.57,B,Reprovado
749,Luana Garcia,17.0,6.3,0.51,C,Reprovado
750,Léo Siqueira,17.0,2.3,0.77,C,Reprovado
751,Ana Sophia Aragão,19.0,9.6,0.58,C,Reprovado
752,Valentim Jesus,19.0,9.2,0.82,A,Aprovado
753,Manuella Farias,16.0,0.8,0.66,C,Reprovado
754,Gael Sales,16.0,5.4,0.64,B,Reprovado
755,Henry Gabriel Souza,18.0,0.6,0.53,A,Reprovado
756,Pedro Lucas Moraes,17.0,5.7,0.61,B,Reprovado
757,Bento Silva,18.0,6.3,0.87,A,Reprovado
758,Luan da Cruz,18.0,2.1,0.77,C,Reprovado
759,Sra. Helena da Luz,20.0,2.4,0.87,B,Reprovado
760,Srta. Maria Luiza Novaes,20.0,9.7,0.9,B,Aprovado
762,Luiz Otávio Alves,20.0,1.1,0.67,C,Reprovado
763,Eloá Moreira,18.0,4.3,0.82,A,Reprovado
764,Arthur Gabriel Moraes,16.0,3.1,0.62,A,Reprovado
765,Sr. Benjamin Farias,18.0,9.7,0.5,A,Reprovado
766,Antony Teixeira,19.0,2.8,0.57,B,Reprovado
767,Cauã Sampaio,16.0,1.9,0.89,A,Reprovado
768,Srta. Bruna Santos,20.0,8.7,0.92,B,Aprovado
769,Ana Casa Grande,16.0,4.9,0.69,A,Reprovado
770,Ryan Oliveira,20.0,0.4,1.0,B,Reprovado
771,Sara Novaes,16.0,9.9,0.87,B,Aprovado
772,Luiz Fernando Silveira,19.0,3.5,0.99,A,Reprovado
774,Marcos Vinicius Melo,19.0,3.5,1.0,C,Reprovado
775,Isaac Albuquerque,20.0,7.9,0.9,B,Aprovado
776,Sra. Maria Sophia Araújo,20.0,0.1,0.52,C,Reprovado
777,Yuri Pastor,18.0,2.9,0.6,A,Reprovado
778,Larissa Pereira,18.0,8.2,0.61,A,Reprovado
779,Ayla Lima,20.0,3.7,0.99,B,Reprovado
780,Sara Almeida,-1.0,5.9,0.58,A,Reprovado
783,Natália Camargo,19.0,2.3,0.98,B,Reprovado
784,Sr. Oliver da Rocha,17.0,9.8,0.82,B,Aprovado
785,Sr. Arthur Gabriel Lima,17.0,6.2,0.79,C,Reprovado
786,Giovanna Freitas,17.0,4.7,0.73,C,Reprovado
787,Júlia Rocha,20.0,7.0,0.75,B,Aprovado
788,Pedro Miguel das Neves,20.0,7.5,0.61,B,Reprovado
789,João Felipe Almeida,18.0,0.8,0.63,C,Reprovado
790,Dr. João Mendonça,17.0,9.0,0.98,B,Aprovado
791,Isabela Camargo,20.0,1.1,0.6,B,Reprovado
792,Igor Montenegro,16.0,6.7,0.9,B,Reprovado
793,Nina Lopes,18.0,9.7,0.81,B,Aprovado
794,Maitê Campos,18.0,9.9,0.54,B,Reprovado
795,Gustavo Henrique Cirino,16.0,2.3,0.97,A,Reprovado
796,Sra. Maria Sophia Pereira,18.0,7.8,0.6,C,Reprovado
798,João Lucas das Neves,20.0,6.2,0.97,B,Reprovado
799,Ana Carolina Nunes,18.0,9.3,0.59,B,Reprovado
800,Eloá Peixoto,18.0,6.8,0.9,A,Reprovado
801,Eduarda Peixoto,19.0,1.9,0.99,B,Reprovado
802,Srta. Ana Carolina Abreu,20.0,5.5,0.83,C,Reprovado
803,Milena Fernandes,17.0,7.8,0.74,C,Reprovado
804,Sra. Kamilly Porto,16.0,0.3,0.64,C,Reprovado
805,Vitória Costa,18.0,4.8,0.59,A,Reprovado
806,Valentim Monteiro,16.0,1.5,0.66,A,Reprovado
807,Natália da Mata,17.0,9.0,0.76,A,Aprovado
808,Yan Pires,19.0,7.0,0.71,B,Reprovado
809,Maria Cecília da Rosa,17.0,1.8,0.8,A,Reprovado
810,Srta. Antonella Câmara,20.0,6.7,0.61,C,Reprovado
811,Samuel Correia,19.0,4.3,0.86,C,Reprovado
812,Cauê Machado,16.0,4.1,0.93,A,Reprovado
813,Aylla Moura,18.0,9.5,0.87,B,Aprovado
814,João Miguel Vieira,16.0,0.5,0.82,B,Reprovado
815,Antony Novaes,17.0,8.0,0.62,B,Reprovado
816,Igor Cavalcanti,20.0,0.4,0.94,C,Reprovado
817,Danilo Oliveira,19.0,0.1,0.52,A,Reprovado
818,Dr. Benicio Rios,19.0,2.4,0.5,A,Reprovado
819,Isaac da Rocha,17.0,4.8,0.64,A,Reprovado
820,João Pedro Sousa,20.0,9.2,0.73,C,Reprovado
821,Alice Jesus,-1.0,8.3,0.83,B,Aprovado
822,Ravy Novais,19.0,2.6,0.98,C,Reprovado
823,Sra. Antonella Gonçalves,19.0,0.2,0.79,A,Reprovado
824,Ana Vitória Souza,20.0,4.5,0.62,A,Reprovado
825,Henrique Campos,16.0,9.1,0.56,A,Reprovado
826,Luigi Casa Grande,17.0,0.3,0.81,A,Reprovado
827,Pedro Sales,16.0,8.2,0.81,B,Aprovado
828,Srta. Antonella Rezende,17.0,2.5,0.9,B,Reprovado
829,Bárbara Sousa,18.0,3.1,0.61,C,Reprovado
830,Jade Carvalho,17.0,1.3,0.74,B,Reprovado
831,Nina das Neves,20.0,2.5,0.72,A,Reprovado
832,Maria Liz Cardoso,16.0,3.7,0.73,A,Reprovado
833,Dr. Erick Moraes,20.0,4.9,0.92,C,Reprovado
834,Anthony Carvalho,19.0,6.3,0.99,C,Reprovado
835,Levi Santos,16.0,8.5,0.51,B,Reprovado
836,Daniela Sousa,17.0,6.7,0.68,C,Reprovado
837,Renan Casa Grande,16.0,1.1,0.98,A,Reprovado
838,Gabriela Jesus,18.0,2.1,0.77,B,Reprovado
839,Yuri Teixeira,19.0,6.5,0.92,A,Reprovado
840,Luan Barbosa,19.0,7.0,0.72,B,Reprovado
841,Bianca Pires,17.0,6.5,0.51,B,Reprovado
842,Joana Viana,20.0,2.5,0.56,C,Reprovado
843,Dra. Maysa Mendes,18.0,7.4,0.69,C,Reprovado
844,Marcelo da Luz,19.0,7.7,0.61,B,Reprovado
845,Murilo Cunha,20.0,3.3,0.59,A,Reprovado
846,Antony Sousa,19.0,0.2,0.79,C,Reprovado
847,Pietra da Conceição,20.0,1.7,0.6,A,Reprovado
848,Dra. Alana Lopes,17.0,9.1,0.56,C,Reprovado
849,Luara da Rocha,20.0,3.2,0.84,A,Reprovado
850,Noah Sousa,17.0,1.9,0.97,B,Reprovado
851,Otávio Caldeira,19.0,9.7,0.68,A,Reprovado
852,Ana Cavalcanti,19.0,2.7,0.52,B,Reprovado
854,Daniela Câmara,18.0,2.8,0.76,A,Reprovado
856,Diego Montenegro,16.0,6.2,0.85,C,Reprovado
857,Bárbara Caldeira,20.0,1.1,0.71,B,Reprovado
858,Srta. Raquel Moreira,16.0,1.5,0.97,B,Reprovado
859,Bárbara Camargo,20.0,1.2,0.7,A,Reprovado
860,Pietro Fernandes,20.0,6.2,0.98,B,Reprovado
861,Lucas Gabriel Aragão,18.0,2.1,0.87,C,Reprovado
862,Dr. Paulo Correia,17.0,9.6,0.58,A,Reprovado
863,Thales Peixoto,16.0,9.0,0.74,A,Reprovado
865,Sra. Julia Melo,19.0,8.0,0.88,A,Aprovado
866,Amanda Cunha,17.0,3.4,0.78,A,Reprovado
867,Clara Pimenta,19.0,6.6,0.74,B,Reprovado
868,Maria Luiza Peixoto,16.0,5.0,0.97,C,Reprovado
869,Anna Liz Azevedo,18.0,0.9,0.65,A,Reprovado
870,Bernardo da Paz,20.0,9.4,0.77,B,Aprovado
871,Paulo Cavalcanti,17.0,3.1,0.95,A,Reprovado
872,Dr. Dom Fonseca,16.0,2.3,0.78,A,Reprovado
873,João Vitor Nascimento,20.0,8.6,0.5,A,Reprovado
874,Lívia Fogaça,18.0,5.9,0.78,A,Reprovado
875,Evelyn Aparecida,19.0,9.3,0.82,C,Aprovado
876,Hadassa Rodrigues,17.0,4.4,0.53,A,Reprovado
877,Bento Dias,16.0,5.9,0.63,C,Reprovado
878,José Pedro Jesus,20.0,5.1,0.77,C,Reprovado
879,Zoe Dias,17.0,6.1,0.52,C,Reprovado
880,Dra. Sarah Almeida,19.0,3.4,0.92,B,Reprovado
881,Cauê Gomes,18.0,1.4,0.59,A,Reprovado
882,Alana Moraes,19.0,2.0,0.59,C,Reprovado
883,Lucas Pacheco,20.0,6.1,0.54,C,Reprovado
884,Francisco Oliveira,20.0,5.7,0.56,B,Reprovado
885,Luiza Aparecida,16.0,9.6,0.7,B,Reprovado
886,Vitória Freitas,16.0,6.7,0.6,B,Reprovado
887,Sra. Isabelly Campos,20.0,3.8,0.96,C,Reprovado
888,Joaquim Santos,16.0,4.1,0.92,C,Reprovado
889,Kaique Barbosa,17.0,2.4,0.68,A,Reprovado
890,Juan Pinto,18.0,8.8,0.78,A,Aprovado
891,Maysa Vargas,18.0,9.4,0.99,B,Aprovado
892,Gael Henrique Costela,20.0,0.6,0.75,B,Reprovado
893,João Lucas Moraes,18.0,5.6,0.54,A,Reprovado
894,Isabela da Costa,18.0,6.8,0.61,A,Reprovado
895,Dra. Marina Almeida,20.0,9.2,0.87,C,Aprovado
896,Maria Alice da Paz,17.0,1.4,0.66,B,Reprovado
897,Evelyn Dias,20.0,4.6,0.88,B,Reprovado
898,Júlia Monteiro,20.0,0.2,0.78,B,Reprovado
899,Camila Guerra,17.0,1.7,0.78,B,Reprovado
900,Valentim Porto,17.0,7.3,0.99,B,Aprovado
901,Aylla Pinto,16.0,8.0,0.71,A,Reprovado
902,Vitória Barros,-1.0,5.0,0.71,C,Reprovado
903,João Lucas Sá,20.0,7.5,0.63,A,Reprovado
904,Srta. Maria Laura Cirino,16.0,2.7,0.53,B,Reprovado
905,Maya Almeida,19.0,2.2,0.79,C,Reprovado
906,Sr. Eduardo Teixeira,16.0,9.6,0.59,C,Reprovado
907,Luiz Henrique Sá,16.0,2.6,0.92,C,Reprovado
908,Srta. Liz Aparecida,20.0,8.0,0.98,B,Aprovado
909,Gabriel Câmara,16.0,5.7,0.54,A,Reprovado
910,Luiza Leão,18.0,0.7,0.89,C,Reprovado
911,Caleb da Luz,20.0,4.0,0.95,C,Reprovado
